Station,PM2.5,Timestamp,Latitude,Longitude,Lines
"Platform 4 - Eastbound, Piccadilly line",1.15,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.12,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.3,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern line",0.79,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern line",1.02,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Northern line",0.74,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Northern line",0.77,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.23,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.06,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.26,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.3,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Victoria line",0.83,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Victoria line",1.18,2024-05 to 2024-09,,,
"Platform 5 - Westbound, Piccadilly line",1.11,2024-05 to 2024-09,,,
"Platform 6 - Eastbound, Piccadilly line",0.74,2024-05 to 2024-09,,,
"Platform 7 - Northbound, Northern line",0.69,2024-05 to 2024-09,,,
"Platform 8 - Southbound, Northern line",0.91,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.02,2024-05 to 2024-09,,,
"Ticket Hall / Gate Line - Circle / 
Hammersmith & City / Metropolitan line",0.09,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.57,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern line",0.84,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern line",0.92,2024-05 to 2024-09,,,
"Platform 3 - Westbound, Jubilee line",1.15,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Jubilee line",0.56,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.6,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.21,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Central line",0.56,2024-05 to 2024-09,,,
"Platform 2 - Westbound, District / 
Hammersmith & City line",0.45,2024-05 to 2024-09,,,
"Platform 3 - Eastbound, District / 
Hammersmith & City line",0.63,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Central line",0.71,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.23,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.27,2024-05 to 2024-09,,,
"Platform 1 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.57,2024-05 to 2024-09,,,
"Platform 2 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.2,2024-05 to 2024-09,,,
